Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,15pF,C_0402_1005Metric,347.800000,-148.800000,270.000000,bottom
C102,15pF,C_0402_1005Metric,306.500000,-149.200000,270.000000,bottom
C103,15pF,C_0402_1005Metric,262.800000,-149.200000,270.000000,bottom
C104,15pF,C_0402_1005Metric,217.700000,-148.900000,270.000000,bottom
C105,15pF,C_0402_1005Metric,167.700000,-149.100000,270.000000,bottom
C106,15pF,C_0402_1005Metric,120.900000,-148.800000,270.000000,bottom
C107,15pF,C_0402_1005Metric,85.900000,-148.900000,270.000000,bottom
C108,15pF,C_0402_1005Metric,91.300000,-201.600000,0.000000,bottom
C109,15pF,C_0402_1005Metric,126.400000,-201.600000,0.000000,bottom
C110,15pF,C_0402_1005Metric,173.400000,-201.500000,0.000000,bottom
C111,15pF,C_0402_1005Metric,223.500000,-201.500000,0.000000,bottom
C112,15pF,C_0402_1005Metric,268.400000,-201.500000,0.000000,bottom
C113,15pF,C_0402_1005Metric,311.400000,-201.500000,0.000000,bottom
C114,15pF,C_0402_1005Metric,353.500000,-201.600000,0.000000,bottom
D1,1N4148WT,D_SOD-523,65.000000,-109.000000,180.000000,bottom
D2,1N4148WT,D_SOD-523,84.000000,-109.000000,180.000000,bottom
D3,1N4148WT,D_SOD-523,103.000000,-109.000000,180.000000,bottom
D4,1N4148WT,D_SOD-523,122.000000,-109.000000,180.000000,bottom
D5,1N4148WT,D_SOD-523,141.000000,-109.000000,180.000000,bottom
D6,1N4148WT,D_SOD-523,160.000000,-109.000000,180.000000,bottom
D7,1N4148WT,D_SOD-523,189.000000,-109.000000,180.000000,bottom
D8,1N4148WT,D_SOD-523,208.000000,-109.000000,180.000000,bottom
D9,1N4148WT,D_SOD-523,227.000000,-109.000000,180.000000,bottom
D10,1N4148WT,D_SOD-523,246.000000,-109.000000,180.000000,bottom
D11,1N4148WT,D_SOD-523,274.000000,-109.000000,180.000000,bottom
D12,1N4148WT,D_SOD-523,293.000000,-109.000000,180.000000,bottom
D13,1N4148WT,D_SOD-523,312.000000,-109.000000,180.000000,bottom
D14,1N4148WT,D_SOD-523,331.000000,-109.000000,180.000000,bottom
D15,1N4148WT,D_SOD-523,354.000000,-109.000000,180.000000,bottom
D16,1N4148WT,D_SOD-523,373.000000,-109.000000,180.000000,bottom
D17,1N4148WT,D_SOD-523,392.000000,-109.000000,180.000000,bottom
D18,1N4148WT,D_SOD-523,65.000000,-135.300000,180.000000,bottom
D19,1N4148WT,D_SOD-523,84.000000,-135.300000,180.000000,bottom
D20,1N4148WT,D_SOD-523,103.000000,-135.300000,180.000000,bottom
D21,1N4148WT,D_SOD-523,122.000000,-135.300000,180.000000,bottom
D22,1N4148WT,D_SOD-523,141.000000,-135.300000,180.000000,bottom
D23,1N4148WT,D_SOD-523,160.000000,-135.300000,180.000000,bottom
D24,1N4148WT,D_SOD-523,179.000000,-135.300000,180.000000,bottom
D25,1N4148WT,D_SOD-523,198.000000,-135.300000,180.000000,bottom
D26,1N4148WT,D_SOD-523,217.000000,-135.300000,180.000000,bottom
D27,1N4148WT,D_SOD-523,236.000000,-135.300000,180.000000,bottom
D28,1N4148WT,D_SOD-523,255.000000,-135.300000,180.000000,bottom
D29,1N4148WT,D_SOD-523,274.000000,-135.300000,180.000000,bottom
D30,1N4148WT,D_SOD-523,293.000000,-135.300000,180.000000,bottom
D31,1N4148WT,D_SOD-523,312.000000,-135.300000,180.000000,bottom
D32,1N4148WT,D_SOD-523,331.000000,-135.300000,180.000000,bottom
D33,1N4148WT,D_SOD-523,354.000000,-135.300000,180.000000,bottom
D34,1N4148WT,D_SOD-523,373.000000,-135.300000,180.000000,bottom
D35,1N4148WT,D_SOD-523,392.000000,-135.300000,180.000000,bottom
D36,1N4148WT,D_SOD-523,70.000000,-154.300000,180.000000,bottom
D37,1N4148WT,D_SOD-523,93.000000,-154.300000,180.000000,bottom
D38,1N4148WT,D_SOD-523,112.000000,-154.300000,180.000000,bottom
D39,1N4148WT,D_SOD-523,131.000000,-154.300000,180.000000,bottom
D40,1N4148WT,D_SOD-523,150.000000,-154.300000,180.000000,bottom
D41,1N4148WT,D_SOD-523,169.000000,-154.300000,180.000000,bottom
D42,1N4148WT,D_SOD-523,188.000000,-154.300000,180.000000,bottom
D43,1N4148WT,D_SOD-523,207.000000,-154.300000,180.000000,bottom
D44,1N4148WT,D_SOD-523,226.000000,-154.300000,180.000000,bottom
D45,1N4148WT,D_SOD-523,245.000000,-154.300000,180.000000,bottom
D46,1N4148WT,D_SOD-523,264.000000,-154.300000,180.000000,bottom
D47,1N4148WT,D_SOD-523,283.000000,-154.300000,180.000000,bottom
D48,1N4148WT,D_SOD-523,302.000000,-154.300000,180.000000,bottom
D49,1N4148WT,D_SOD-523,326.000000,-154.300000,180.000000,bottom
D50,1N4148WT,D_SOD-523,354.000000,-154.300000,180.000000,bottom
D51,1N4148WT,D_SOD-523,373.000000,-154.300000,180.000000,bottom
D52,1N4148WT,D_SOD-523,392.000000,-154.300000,180.000000,bottom
D53,1N4148WT,D_SOD-523,72.000000,-173.300000,180.000000,bottom
D54,1N4148WT,D_SOD-523,98.000000,-173.300000,180.000000,bottom
D55,1N4148WT,D_SOD-523,117.000000,-173.300000,180.000000,bottom
D56,1N4148WT,D_SOD-523,136.000000,-173.300000,180.000000,bottom
D57,1N4148WT,D_SOD-523,155.000000,-173.300000,180.000000,bottom
D58,1N4148WT,D_SOD-523,174.000000,-173.300000,180.000000,bottom
D59,1N4148WT,D_SOD-523,193.000000,-173.300000,180.000000,bottom
D60,1N4148WT,D_SOD-523,212.000000,-173.300000,180.000000,bottom
